"id","name","provisioningState","resourceGroup","resourceId","tags","type","writeAccessResourceId"
"/subscriptions/01278f7f-a960-4714-82b8-c8c0d02d13bc/resourcegroups/defaultresourcegroup-cca/providers/microsoft.operationalinsights/workspaces/defaultworkspace-01278f7f-a960-4714-82b8-c8c0d02d13bc-cca/linkedservices/automation","DefaultWorkspace-01278f7f-a960-4714-82b8-c8c0d02d13bc-CCA/Automation","Succeeded","defaultresourcegroup-cca","/subscriptions/01278f7f-a960-4714-82b8-c8c0d02d13bc/resourceGroups/DefaultResourceGroup-CCA/providers/Microsoft.Automation/automationAccounts/Automate-01278f7f-a960-4714-82b8-c8c0d02d13bc-CCA",,"Microsoft.OperationalInsights/workspaces/linkedServices",
"/subscriptions/01278f7f-a960-4714-82b8-c8c0d02d13bc/resourcegroups/defaultresourcegroup-cca/providers/microsoft.operationalinsights/workspaces/defaultworkspace-01278f7f-a960-4714-82b8-c8c0d02d13bc-cca/linkedservices/security","DefaultWorkspace-01278f7f-a960-4714-82b8-c8c0d02d13bc-CCA/Security","Succeeded","defaultresourcegroup-cca","/subscriptions/01278f7f-a960-4714-82b8-c8c0d02d13bc/resourcegroups/defaultresourcegroup-cca/providers/microsoft.operationalinsights/workspaces/defaultworkspace-01278f7f-a960-4714-82b8-c8c0d02d13bc-cca",,"Microsoft.OperationalInsights/workspaces/linkedServices",
